cluster_id,assigned_orig_class,class_name,size,holdout_members
66,-2,UnknownAnomaly,23,0
67,-2,UnknownAnomaly,10,0
68,-2,UnknownAnomaly,55,0
69,-2,UnknownAnomaly,15,0
70,-2,UnknownAnomaly,100,0
71,-2,UnknownAnomaly,91,0
72,-2,UnknownAnomaly,54,0
73,-2,UnknownAnomaly,19,0
74,4,NormalTraffic,14,0
75,-2,UnknownAnomaly,326,0
76,-2,UnknownAnomaly,41,0
