mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (2 processes) ===
Train: 100000 | Test: 50000 | Features: 52 | Classes: 7
  SVM(0v2) Epoch 42/200 | Errors: 4/5000
  SVM(0v2) Epoch 46/200 | Errors: 4/5000
  SVM(0v2) Epoch 43/200 | Errors: 4/5000
  SVM(0v2) Epoch 47/200 | Errors: 4/5000
  SVM(0v2) Epoch 44/200 | Errors: 4/5000
  SVM(0v2) Epoch 48/200 | Errors: 4/5000
  SVM(0v2) Epoch 45/200 | Errors: 4/5000
  SVM(0v2) Epoch 49/200 | Errors: 4/5000
  SVM(0v2) Epoch 46/200 | Errors: 4/5000
  SVM(0v2) Epoch 47/200 | Errors: 4/5000
  SVM(0v2) Epoch 50/200 | Errors: 4/5000
  SVM(0v2) Epoch 48/200 | Errors: 4/5000
  SVM(0v2) Epoch 51/200 | Errors: 4/5000
  SVM(0v2) Epoch 49/200 | Errors: 4/5000
  SVM(0v2) Epoch 52/200 | Errors: 4/5000
  SVM(0v2) Epoch 50/200 | Errors: 4/5000
  SVM(0v2) Epoch 53/200 | Errors: 2/5000
  SVM(0v2) Epoch 51/200 | Errors: 4/5000
  SVM(0v2) Epoch 54/200 | Errors: 8/5000
  SVM(0v2) Epoch 52/200 | Errors: 4/5000
  SVM(0v2) Epoch 55/200 | Errors: 8/5000
  SVM(0v2) Epoch 53/200 | Errors: 2/5000
  SVM(0v2) Epoch 56/200 | Errors: 8/5000
  SVM(0v2) Epoch 54/200 | Errors: 8/5000
  SVM(0v2) Epoch 57/200 | Errors: 8/5000
  SVM(0v2) Epoch 55/200 | Errors: 8/5000
  SVM(0v2) Epoch 58/200 | Errors: 8/5000
  SVM(0v2) Epoch 56/200 | Errors: 8/5000
  SVM(0v2) Epoch 59/200 | Errors: 8/5000
  SVM(0v2) Epoch 57/200 | Errors: 8/5000
  SVM(0v2) Epoch 60/200 | Errors: 6/5000
  SVM(0v2) Epoch 58/200 | Errors: 8/5000
  SVM(0v2) Epoch 61/200 | Errors: 6/5000
  SVM(0v2) Epoch 59/200 | Errors: 8/5000
  SVM(0v2) Epoch 62/200 | Errors: 4/5000
  SVM(0v2) Epoch 60/200 | Errors: 6/5000
  SVM(0v2) Epoch 63/200 | Errors: 4/5000
