g++ -O2 -std=c++20 -pthread -o bin/cpp_thread src/cpp_thread.cpp -lm
Built: cpp_thread
=== Network IDS: C++ Thread (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7

--- SVM Training ---
  SVM(0v5) Epoch 3/200 | Train Errors: 226/8000 | Val Errors: 37/2000
  SVM(0v5) Epoch 4/200 | Train Errors: 225/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 5/200 | Train Errors: 218/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 6/200 | Train Errors: 227/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 7/200 | Train Errors: 220/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 8/200 | Train Errors: 218/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 9/200 | Train Errors: 221/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 10/200 | Train Errors: 216/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 11/200 | Train Errors: 216/8000 | Val Errors: 37/2000
  SVM(0v5) Epoch 12/200 | Train Errors: 221/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 13/200 | Train Errors: 218/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 14/200 | Train Errors: 216/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 15/200 | Train Errors: 225/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 16/200 | Train Errors: 214/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 17/200 | Train Errors: 222/8000 | Val Errors: 37/2000
  SVM(0v5) Epoch 18/200 | Train Errors: 225/8000 | Val Errors: 42/2000
  Early stopping at epoch 18 (best val errors=37)
  SVM(0v6) Epoch 1/200 | Train Errors: 219/2295 | Val Errors: 52/574
  SVM(0v6) Epoch 2/200 | Train Errors: 129/2295 | Val Errors: 27/574
  SVM(0v6) Epoch 3/200 | Train Errors: 108/2295 | Val Errors: 27/574
  SVM(0v6) Epoch 4/200 | Train Errors: 62/2295 | Val Errors: 1/574
