class_a,class_b,epoch,train_errors,n_train,val_errors,n_val
1,2,23,68,8000,20,2000
1,2,24,68,8000,20,2000
1,2,25,68,8000,21,2000
1,2,26,72,8000,15,2000
1,2,27,66,8000,17,2000
1,2,28,66,8000,17,2000
1,2,29,66,8000,19,2000
1,2,30,68,8000,20,2000
1,2,31,68,8000,20,2000
1,2,32,68,8000,21,2000
1,2,33,72,8000,15,2000
1,3,1,332,8000,42,2000
1,3,2,307,8000,31,2000
1,3,3,266,8000,31,2000
1,3,4,267,8000,18,2000
1,3,5,180,8000,29,2000
1,3,6,196,8000,29,2000
1,3,7,184,8000,29,2000
1,3,8,182,8000,29,2000
1,3,9,259,8000,15,2000
1,3,10,186,8000,14,2000
1,3,11,170,8000,15,2000
1,3,12,166,8000,15,2000
1,3,13,170,8000,15,2000
1,3,14,166,8000,15,2000
1,3,15,170,8000,15,2000
1,3,16,162,8000,15,2000
1,3,17,166,8000,15,2000
1,3,18,174,8000,14,2000
1,3,19,215,8000,15,2000
1,3,20,172,8000,15,2000
1,3,21,160,8000,15,2000
1,3,22,164,8000,15,2000
1,3,23,166,8000,15,2000
1,3,24,162,8000,15,2000
1,3,25,166,8000,15,2000
1,4,1,55,8000,12,2000
1,4,2,52,8000,25,2000
1,4,3,55,8000,12,2000
1,4,4,54,8000,12,2000
1,4,5,52,8000,12,2000
1,4,6,51,8000,12,2000
1,4,7,54,8000,12,2000
1,4,8,54,8000,12,2000
1,4,9,54,8000,12,2000
1,4,10,50,8000,10,2000
1,4,11,41,8000,12,2000
1,4,12,50,8000,12,2000
1,4,13,54,8000,12,2000
1,4,14,54,8000,12,2000
1,4,15,54,8000,12,2000
1,4,16,50,8000,8,2000
1,4,17,49,8000,12,2000
1,4,18,52,8000,12,2000
1,4,19,54,8000,12,2000
1,4,20,54,8000,12,2000
1,4,21,54,8000,12,2000
1,4,22,44,8000,9,2000
1,4,23,47,8000,12,2000
1,4,24,52,8000,12,2000
1,4,25,52,8000,12,2000
