g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7
  SVM(0v4) Epoch 59/200 | Errors: 22/10000
  SVM(0v4) Epoch 60/200 | Errors: 24/10000
  SVM(0v4) Epoch 61/200 | Errors: 22/10000
  SVM(0v4) Epoch 62/200 | Errors: 22/10000
  SVM(0v4) Epoch 63/200 | Errors: 22/10000
  SVM(0v4) Epoch 64/200 | Errors: 22/10000
  SVM(0v4) Epoch 65/200 | Errors: 22/10000
  SVM(0v4) Epoch 66/200 | Errors: 24/10000
  SVM(0v4) Epoch 67/200 | Errors: 24/10000
  SVM(0v4) Epoch 68/200 | Errors: 24/10000
  SVM(0v4) Epoch 69/200 | Errors: 24/10000
  SVM(0v4) Epoch 70/200 | Errors: 24/10000
  SVM(0v4) Epoch 71/200 | Errors: 26/10000
  SVM(0v4) Epoch 72/200 | Errors: 25/10000
  SVM(0v4) Epoch 73/200 | Errors: 25/10000
  SVM(0v4) Epoch 74/200 | Errors: 24/10000
  SVM(0v4) Epoch 75/200 | Errors: 26/10000
  SVM(0v4) Epoch 76/200 | Errors: 24/10000
  SVM(0v4) Epoch 77/200 | Errors: 26/10000
  SVM(0v4) Epoch 78/200 | Errors: 24/10000
  SVM(0v4) Epoch 79/200 | Errors: 26/10000
  SVM(0v4) Epoch 80/200 | Errors: 24/10000
  SVM(0v4) Epoch 81/200 | Errors: 26/10000
  SVM(0v4) Epoch 82/200 | Errors: 24/10000
  SVM(0v4) Epoch 83/200 | Errors: 26/10000
  SVM(0v4) Epoch 84/200 | Errors: 25/10000
  SVM(0v4) Epoch 85/200 | Errors: 25/10000
  SVM(0v4) Epoch 86/200 | Errors: 24/10000
  SVM(0v4) Epoch 87/200 | Errors: 27/10000
  SVM(0v4) Epoch 88/200 | Errors: 24/10000
  SVM(0v4) Epoch 89/200 | Errors: 26/10000
  SVM(0v4) Epoch 90/200 | Errors: 23/10000
  SVM(0v4) Epoch 91/200 | Errors: 27/10000
  SVM(0v4) Epoch 92/200 | Errors: 22/10000
  SVM(0v4) Epoch 93/200 | Errors: 21/10000
  SVM(0v4) Epoch 94/200 | Errors: 25/10000
  SVM(0v4) Epoch 95/200 | Errors: 22/10000
  SVM(0v4) Epoch 96/200 | Errors: 24/10000
  SVM(0v4) Epoch 97/200 | Errors: 20/10000
  SVM(0v4) Epoch 98/200 | Errors: 22/10000
  SVM(0v4) Epoch 99/200 | Errors: 23/10000
  SVM(0v4) Epoch 100/200 | Errors: 23/10000
  SVM(0v4) Epoch 101/200 | Errors: 21/10000
  SVM(0v4) Epoch 102/200 | Errors: 23/10000
  SVM(0v4) Epoch 103/200 | Errors: 24/10000
  SVM(0v4) Epoch 104/200 | Errors: 22/10000
  SVM(0v4) Epoch 105/200 | Errors: 24/10000
  SVM(0v4) Epoch 106/200 | Errors: 21/10000
  SVM(0v4) Epoch 107/200 | Errors: 23/10000
  SVM(0v4) Epoch 108/200 | Errors: 24/10000
  SVM(0v4) Epoch 109/200 | Errors: 24/10000
  SVM(0v4) Epoch 110/200 | Errors: 24/10000
  SVM(0v4) Epoch 111/200 | Errors: 19/10000
  SVM(0v4) Epoch 112/200 | Errors: 25/10000
  SVM(0v4) Epoch 113/200 | Errors: 21/10000
  SVM(0v4) Epoch 114/200 | Errors: 23/10000
  SVM(0v4) Epoch 115/200 | Errors: 22/10000
  SVM(0v4) Epoch 116/200 | Errors: 22/10000
  SVM(0v4) Epoch 117/200 | Errors: 22/10000
  SVM(0v4) Epoch 118/200 | Errors: 22/10000
  SVM(0v4) Epoch 119/200 | Errors: 22/10000
  SVM(0v4) Epoch 120/200 | Errors: 24/10000
  SVM(0v4) Epoch 121/200 | Errors: 24/10000
  SVM(0v4) Epoch 122/200 | Errors: 24/10000
  SVM(0v4) Epoch 123/200 | Errors: 24/10000
  SVM(0v4) Epoch 124/200 | Errors: 24/10000
  SVM(0v4) Epoch 125/200 | Errors: 24/10000
  SVM(0v4) Epoch 126/200 | Errors: 24/10000
  SVM(0v4) Epoch 127/200 | Errors: 25/10000
  SVM(0v4) Epoch 128/200 | Errors: 25/10000
  SVM(0v4) Epoch 129/200 | Errors: 24/10000
  SVM(0v4) Epoch 130/200 | Errors: 26/10000
  SVM(0v4) Epoch 131/200 | Errors: 24/10000
  SVM(0v4) Epoch 132/200 | Errors: 26/10000
  SVM(0v4) Epoch 133/200 | Errors: 24/10000
  SVM(0v4) Epoch 134/200 | Errors: 26/10000
  SVM(0v4) Epoch 135/200 | Errors: 24/10000
  SVM(0v4) Epoch 136/200 | Errors: 24/10000
  SVM(0v4) Epoch 137/200 | Errors: 26/10000
  SVM(0v4) Epoch 138/200 | Errors: 24/10000
  SVM(0v4) Epoch 139/200 | Errors: 24/10000
  SVM(0v4) Epoch 140/200 | Errors: 26/10000
  SVM(0v4) Epoch 141/200 | Errors: 24/10000
  SVM(0v4) Epoch 142/200 | Errors: 24/10000
  SVM(0v4) Epoch 143/200 | Errors: 27/10000
  SVM(0v4) Epoch 144/200 | Errors: 22/10000
  SVM(0v4) Epoch 145/200 | Errors: 23/10000
  SVM(0v4) Epoch 146/200 | Errors: 22/10000
  SVM(0v4) Epoch 147/200 | Errors: 21/10000
  SVM(0v4) Epoch 148/200 | Errors: 26/10000
  SVM(0v4) Epoch 149/200 | Errors: 22/10000
  SVM(0v4) Epoch 150/200 | Errors: 22/10000
  SVM(0v4) Epoch 151/200 | Errors: 22/10000
  SVM(0v4) Epoch 152/200 | Errors: 22/10000
